DEBUG    | 2026-04-06 01:37:25,322 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429880,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:25,342 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429881,"pa...r_index":0,"cars":[]}}}' [6154 bytes]
DEBUG    | 2026-04-06 01:37:25,362 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429882,"pa...r_index":0,"cars":[]}}}' [6145 bytes]
DEBUG    | 2026-04-06 01:37:25,382 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429883,"pa...r_index":0,"cars":[]}}}' [6152 bytes]
DEBUG    | 2026-04-06 01:37:25,403 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429884,"pa...r_index":0,"cars":[]}}}' [6143 bytes]
DEBUG    | 2026-04-06 01:37:25,424 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429885,"pa...r_index":0,"cars":[]}}}' [6132 bytes]
DEBUG    | 2026-04-06 01:37:25,445 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429886,"pa...r_index":0,"cars":[]}}}' [6133 bytes]
DEBUG    | 2026-04-06 01:37:25,464 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429887,"pa...r_index":0,"cars":[]}}}' [6141 bytes]
DEBUG    | 2026-04-06 01:37:25,485 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429888,"pa...r_index":0,"cars":[]}}}' [6152 bytes]
DEBUG    | 2026-04-06 01:37:25,505 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429889,"pa...r_index":0,"cars":[]}}}' [6156 bytes]
DEBUG    | 2026-04-06 01:37:25,526 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429890,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:25,545 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429891,"pa...r_index":0,"cars":[]}}}' [6148 bytes]
DEBUG    | 2026-04-06 01:37:25,563 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429892,"pa...r_index":0,"cars":[]}}}' [6153 bytes]
DEBUG    | 2026-04-06 01:37:25,583 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429893,"pa...r_index":0,"cars":[]}}}' [6138 bytes]
DEBUG    | 2026-04-06 01:37:25,602 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429894,"pa...r_index":0,"cars":[]}}}' [6135 bytes]
DEBUG    | 2026-04-06 01:37:25,622 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429895,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:25,643 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429896,"pa...r_index":0,"cars":[]}}}' [6153 bytes]
DEBUG    | 2026-04-06 01:37:25,663 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429897,"pa...r_index":0,"cars":[]}}}' [6147 bytes]
DEBUG    | 2026-04-06 01:37:25,681 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429898,"pa...r_index":0,"cars":[]}}}' [6144 bytes]
DEBUG    | 2026-04-06 01:37:25,702 | websockets.client | < TEXT '{"type":"telemetry_frame","sequence":429899,"pa...r_index":0,"cars":[]}}}' [6155 bytes]
